Alluvial Fan,Surface,age,age_std,No_Spots,B1,B1_std,B2,B2_std,B3,B3_std,B4,B4_std,B5,B5_std,B6,B6_std,B7,B7_std
Birch,Q4,8.53,2.07,3,139.11,1.51,137.21,1.86,132.77,1.34,132.81,0.69,129.69,0.23,131.93,2.28,133.07,2.2
Birch,Q3,14.06,1.67,3,115.76,1.53,112.66,1.41,106.78,1.33,105.76,1.38,103.21,1.08,113.82,1.63,115.45,2.24
Birch,Q1a,122.5,14.54,8,112.54,3.58,111.76,3.53,112.48,2.96,118.92,1.98,119.46,2.84,141.71,2.79,146.55,2.8
Independence,Q4,13.1,4.62,3,143.11,3.18,147.25,3.3,141.66,3.86,151.21,4.27,140.65,3.44,116.19,2.5,120.35,3.09
Independence,Q2c,40.22,10.4,3,122.76,0.58,128.05,0.89,129.33,1.16,146.14,1.4,133.99,1.26,118.5,2.05,131.4,0.98
Independence,Q2a,79,7.35,1,93.79,7.38,99.86,8.46,98.85,8.5,111.04,11.04,127.43,6.6,127.94,8.14,116.75,9.55
Independence,Q1b,90.89,18.05,3,100.98,1.01,104.41,1.06,99.48,0.85,109.98,1.4,97.98,2.23,115.4,2.01,116.44,0.75
Pinyon,Q4,7.52,3.36,3,132.84,3.09,134.67,3.11,124.03,2.83,128.3,2.43,105.41,0.77,97.76,0.59,102.97,0.98
Pinyon,Q3,21.21,4.26,3,131.83,2.95,137.37,3.09,136.34,3.96,151.08,4.6,141.53,3.86,123.98,3.07,128.79,4.23
Pinyon,Q2b,48.61,12.02,3,117.3,4.11,123.17,5.17,124.88,6,140.65,6.19,138.13,5.11,136.87,4.28,139,5.66
Pinyon,Q2a,70.29,8.09,3,106.1,3.06,110.67,3.48,110.02,5.14,123.98,7.4,117.07,10.93,129.53,8.94,131.5,8.6
Symmes,Q4,3.89,1.6,3,138.13,2.85,139.48,2.56,126.26,2.13,129.74,1.76,112.76,1.54,100.85,1.45,102.81,1.58
Symmes,Q2b,56.49,6.94,1,85.43,4.29,87.17,5.61,79.1,7.55,87.49,8.83,93.6,10.92,94.43,8.56,86.53,9.09
Symmes,Q1b,104.07,35.15,2,95.64,3.82,100.95,4.35,98.6,4.31,111.33,5.23,119.73,3.42,131.31,8.23,121.36,5.91
Shepherd,Q4,5.52,3.03,3,143.2,3.33,144.64,3.3,132.19,3.46,134.88,3.86,114.07,3.26,102.15,1.73,108.07,2.94
Shepherd,Q3,18.71,3.67,3,118.86,6.94,122.13,7.24,114.2,6.92,123.08,6.79,111.61,6.48,116.38,1.21,117.04,2.27
Shepherd,Q2c,29.61,4.48,3,114.72,4.18,118.77,3.36,113.22,2.23,123.3,1.75,116.97,2.38,120.73,5.14,116.39,2.28
Shepherd,Q2a,68.2,7.53,3,103.84,4.08,108.51,3.93,104.03,4.12,116.12,3.46,117.11,3.62,124.04,0.56,116.14,1.25
Shepherd,Q1b,104.07,35.15,3,100.67,15.45,106.56,17.8,103.72,20.9,114.14,22.16,124.07,20.47,129.03,20.06,123.14,22.9
North Bairs,Q4,6.72,5.67,3,128.74,2.38,129.31,2.7,115.8,2.85,118.94,2.81,101.48,2.98,94.06,2.14,96.83,2.29
North Bairs,Q3,17.99,7.86,3,118.48,1.59,122.03,1.39,119.46,1.87,132.77,1.78,121.33,1.63,114.15,0.58,120,1.02
North Bairs,Q2c,36.44,9.39,3,113.19,0.83,117.87,0.76,114.37,1.08,125.57,1.76,116.73,5.48,122.79,4.62,127.87,3.26
North Bairs,Q2b,56.46,20.81,2,114.98,1.72,119.4,1.78,115.01,2.78,127.25,3.5,127.23,1.62,140.94,5.73,138.08,6.48
North Bairs,Q1b,104.92,11.88,2,93.83,2.94,98.31,2.9,96.94,2.8,109.77,1.13,122.83,2.64,126.23,1.71,118.93,3.06
South Bairs,Q4,5.58,2.44,3,110.82,2.57,111.67,2.51,100.49,2.65,105.95,2.35,85.82,1.68,97.44,1.39,101.33,1.16
South Bairs,Q3,17.99,7.86,3,122.3,0.7,126.51,0.59,124.93,0.86,137.38,1.42,122.76,2.12,114.98,1.44,122.38,1.45
South Bairs,Q2c,37.4,13.52,2,97.73,3.86,100.34,4.24,93.73,5.13,104.48,5.49,94.04,6.22,112.79,3.75,110.75,3.69
South Bairs,Q2b,62.13,11.17,3,104.95,3,108.88,3.14,105.81,4.7,119.44,5.98,112.73,7.1,121.03,2.06,121.55,3.07
South Bairs,Q2a,72.5,14.62,3,98.85,2.59,102.08,2.4,96.52,1.7,107.2,1.91,103.13,5.29,114.39,2.22,111.01,1.48
South Bairs,Q1b,104.07,35.15,3,103.35,2.75,108.09,2.63,108.93,3.76,125.8,4.9,120.02,2.85,125.16,2.96,124.48,0.98
George,Q4,11.87,5.12,3,122.46,13.84,122,14.86,107.74,15.47,111,15.41,92.3,14.56,102.23,6.75,109.67,8.68
George,Q2c,35.18,13.18,3,105.7,1.45,107.11,1.39,96.42,1.43,103.58,1.9,88.6,2.15,103.73,0.33,106.89,0.16
George,Q1b,97.37,14.91,3,117.85,3.39,124.11,3.73,125.86,4.29,142.25,4.75,143.6,5.72,155.02,2.37,159.07,4.03
